Floor Area,Floor Number,#ofPeople,Construction_recorded,schedule_recorded,Window Count,w_north,w_east,w_south,w_west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Building Type,Heating,Lighting,Equipment
103.037993,1,0.01941,1,0,2,0,0,1,1,15.7,0,0,0,0,0,0,0,0,1,53.25,17.33,5.76
84.290021,0,0.059319,0,3,2,0,0,1,1,14.46,1,0,0,0,0,0,0,0,0,58.98,17.98,5.76
101.739004,0,0.029487,0,3,2,1,1,0,0,15.42,0,0,0,0,0,0,1,0,0,49.6,17.47,5.76
135.790398,2,0.014729,0,1,2,1,1,0,0,17.51,0,0,0,1,1,0,0,0,1,85.46,16.14,5.76
74.756213,1,0.04013,0,0,2,1,0,0,1,13.9,0,0,0,0,0,0,0,0,1,77.74,16.83,5.76
121.426954,1,0.024706,0,0,2,1,1,0,0,16.64,0,0,0,0,0,0,1,0,1,69.91,17.49,5.76
98.709372,2,0.020262,1,0,3,1,0,1,1,21.15,0,0,0,0,1,1,1,1,1,51.51,15.48,5.76
94.481435,2,0.010584,0,1,2,1,1,0,0,15.01,0,0,1,0,0,0,1,0,1,98.34,15.7,5.76
105.074978,2,0.028551,0,0,2,1,1,0,0,15.42,0,0,0,0,0,0,1,0,1,71.4,16.91,5.76
67.868995,2,0.044203,0,2,2,1,1,0,0,13.65,0,0,0,0,0,0,0,0,1,115.04,15.37,5.76
71.562701,0,0.027948,1,3,2,1,1,0,0,13.66,0,0,0,0,0,0,0,0,0,31.01,17.46,5.76
77.896748,1,0.038513,0,2,2,1,0,0,1,14.14,0,0,1,0,0,1,0,0,1,105.57,15.49,5.76
72.587177,1,0.04133,0,2,2,0,1,1,0,13.78,0,0,0,0,0,0,0,0,1,119.6,16.73,5.76
88.823853,2,0.011258,0,1,2,0,0,1,1,14.14,0,0,0,0,0,0,0,0,1,93.36,15.77,5.76
102.405391,2,0.048826,0,0,2,0,0,1,1,15.76,1,0,0,0,0,0,0,0,1,62.26,15.62,5.76
126.830719,1,0.023654,0,0,3,0,1,1,1,26.13,0,0,0,0,1,0,0,0,1,66.73,15.85,5.76
68.165053,0,0.029341,1,3,2,0,1,1,0,12.85,0,0,0,0,0,1,1,0,0,35.9,17.9,5.76
147.010976,1,0.020407,0,0,2,1,0,0,1,18.35,0,0,1,1,1,0,0,0,1,66.34,17.66,5.76
94.139983,2,0.021245,1,0,2,1,0,0,1,14.9,0,0,0,0,0,0,1,1,1,50.16,15.64,5.76
67.985729,0,0.044127,0,3,2,1,1,0,0,13.14,0,0,0,0,0,1,1,0,0,60.36,17.38,5.76
154.78863,1,0.019381,0,0,2,1,0,0,1,18.67,0,0,1,0,1,0,1,0,1,62.99,17.03,5.76
125.752833,0,0.039761,0,3,3,1,1,1,0,24.16,0,0,0,0,0,0,0,0,0,51.26,17.52,5.76
91.79633,1,0.054468,0,0,2,1,0,0,1,14.9,0,0,0,0,1,0,1,0,1,72.54,16.74,5.76
106.392689,1,0.018798,1,0,3,1,1,1,0,21.89,0,0,1,0,0,0,1,0,1,54.72,15.89,5.76
143.194705,2,0.006983,0,2,2,0,0,1,1,18.15,0,1,1,0,1,0,1,0,1,86.41,16.04,5.76
80.857397,1,0.012367,0,2,2,0,1,1,0,13.83,0,0,0,0,0,0,1,0,1,116.73,16.61,5.76
95.917339,1,0.031277,0,0,2,0,0,1,1,14.98,1,0,1,0,0,0,0,0,1,74.82,16.83,5.76
113.023291,1,0.008848,0,2,2,1,0,0,1,16.03,0,0,0,0,0,0,1,0,1,99.97,17.16,5.76
71.337468,2,0.042054,0,0,2,0,0,1,1,12.69,0,0,0,0,1,0,0,0,1,72.22,15.59,5.76
72.7994,2,0.027473,1,0,2,0,1,1,0,13.82,0,0,0,0,0,0,0,0,1,50.72,15.59,5.76
106.857258,0,0.009358,0,3,2,0,0,1,1,15.69,0,0,0,0,0,0,0,0,0,50.81,18.16,5.76
100.818168,0,0.019838,0,3,2,1,0,0,1,15.62,0,0,0,1,0,0,1,1,0,53.86,17.06,5.76
67.285304,0,0.044586,0,3,2,0,1,1,0,13.75,0,0,1,1,1,1,0,0,0,50.13,15.51,5.76
91.945038,2,0.032628,0,2,2,1,0,0,1,14.87,1,0,0,0,0,0,0,1,1,98.77,15.64,5.76
99.260871,0,0.050372,0,3,2,1,1,0,0,15.18,0,0,1,0,0,0,0,0,0,46.97,18.24,5.76
97.601906,0,0.010246,0,3,2,1,0,0,1,15.4,0,1,1,1,0,0,0,0,0,57.31,19.28,5.76
99.892516,1,0.030032,0,0,2,1,1,0,0,15.2,0,1,1,1,0,0,0,0,1,71.28,15.75,5.76
68.916815,2,0.02902,1,0,2,1,1,0,0,12.72,0,0,1,0,0,0,1,0,1,53.91,15.6,5.76
185.47414,1,0.016175,0,0,2,1,0,0,1,20.43,0,0,0,0,0,0,0,0,1,65.16,16.95,5.76
221.916008,2,0.013519,0,0,2,0,1,1,0,22.44,0,1,1,1,0,1,0,0,1,54.38,16.01,5.76
127.925859,1,0.023451,0,2,3,1,1,1,0,24,0,0,1,0,0,0,1,1,1,104.7,16.98,5.76
88.834354,0,0.033771,0,3,2,0,1,1,0,14.53,0,0,0,0,0,0,0,0,0,60.35,18.28,5.76
